Designator,Footprint,Quantity,Value,LCSC Part #
"-5V_SW, 5V_SW, SW1, SW4, SW5, SW6, Vin",SW_Slide_1P2T_CK_OS102011MS2Q,7,SW_SPDT,
"12V, J2","PhoenixContact_MSTBA_2,5_12-G-5,08_1x12_P5.08mm_Horizontal",2,Conn_01x12,
"C1, C13, C21, C29",0402,4,0.01uF,
"C10, C11, C18, C19, C26, C27, C4, C5",0603,8,10uF,
"C12, C2, C20, C28",0402,4,0.1uF,
"C14, C22, C30, C8",CP_Radial_D6.3mm_P2.50mm,4,220uF,
"C15, C16, C23, C24, C31, C32, C6, C7",1206,8,47uF,
"C17, C25, C3, C9",CP_Radial_D5.0mm_P2.00mm,4,100u,
"C33, C36, C38, C39",0402,4,0.1u,
C34,0603,1,10u,
"C35, C40, C41",CP_Radial_D5.0mm_P2.00mm,3,100u/16v,
C37,0402,1,1u,
"C42, C43",0402,2,22p,
C44,0402,1,1n,
"D1, D3, D5, D7",D_SMA,4,B340,
D2,1206,1,12V,
D4,1206,1,-12V,
D6,1206,1,5V,
D8,1206,1,-5V,
D9,1206,1,LED,
"F1, F2, F3, F4, F5, F6, F7",1206,7,Fuse,
"J10, J11, J12, J13, J14, J7, J8, J9",PinHeader_1x04_P2.54mm_Vertical,8,Conn_01x04,
J3,"PhoenixContact_MSTBA_2,5_8-G-5,08_1x08_P5.08mm_Horizontal",1,Conn_01x08,
"J5, J6","PhoenixContact_MSTBA_2,5_2-G-5,08_1x02_P5.08mm_Horizontal",2,Conn_01x02,
"L1, L2",L_7.3x7.3_H3.5,2,15uH,
"L3, L4",L_7.3x7.3_H3.5,2,22uH,
L5,L_7.3x7.3_H3.5,1,1.5uH,
P1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Plug_USB2.0,
R1,0402,1,24k,
"R10, R6",0402,2,12k,
"R11, R7",0402,2,3.9k,
"R12, R16, R23",1206,3,3.3k,
"R13, R4, R5, R9",0402,4,10M,
R14,0402,1,22k,
R15,0603,1,13k,
R17,0603,1,240k,
"R18, R19",0402,2,100k,
R2,0603,1,2.7k,
R20,0402,1,47k,
R21,0402,1,510k,
R22,0402,1,56k,
"R3, R8",1206,2,10k,
U1,Texas_VQFN-RHL-20,1,tps61088,
"U2, U3, U4, U5",TI_SO-PowerPAD-8_ThermalVias,4,TPS5430DDA,
