Ref,Val,Package,PosX,PosY,Rot,Side
"-5V_SW","SW_SPDT","SW_Slide_1P2T_CK_OS102011MS2Q",136.175000,-67.500000,0.000000,top
"5V_SW","SW_SPDT","SW_Slide_1P2T_CK_OS102011MS2Q",181.025000,-67.202500,180.000000,top
"12V","Conn_01x12","PhoenixContact_MSTBA_2,5_12-G-5,08_1x12_P5.08mm_Horizontal",110.190000,-136.472500,0.000000,top
"C1","0.01uF","C_0402_1005Metric",121.650000,-103.419888,90.000000,top
"C2","0.1uF","C_0402_1005Metric",134.775000,-108.919888,-90.000000,top
"C3","100u","CP_Radial_D5.0mm_P2.00mm",141.525000,-108.294888,-90.000000,top
"C4","10uF","C_0603_1608Metric",137.275000,-109.294888,90.000000,top
"C5","10uF","C_0603_1608Metric",132.525000,-109.169888,-90.000000,top
"C6","47uF","C_1206_3216Metric",122.900000,-116.169888,0.000000,top
"C7","47uF","C_1206_3216Metric",122.900000,-118.919888,0.000000,top
"C8","220uF","CP_Radial_D6.3mm_P2.50mm",121.717621,-123.919888,0.000000,top
"C9","100u","CP_Radial_D5.0mm_P2.00mm",140.342621,-79.500000,-90.000000,top
"C10","10uF","C_0603_1608Metric",136.092621,-80.500000,90.000000,top
"C11","10uF","C_0603_1608Metric",131.342621,-80.500000,-90.000000,top
"C12","0.1uF","C_0402_1005Metric",133.842621,-80.250000,-90.000000,top
"C13","0.01uF","C_0402_1005Metric",119.842621,-77.700000,90.000000,top
"C14","220uF","CP_Radial_D6.3mm_P2.50mm",122.092621,-95.250000,0.000000,top
"C15","47uF","C_1206_3216Metric",123.092621,-90.200000,0.000000,top
"C16","47uF","C_1206_3216Metric",123.092621,-87.500000,0.000000,top
"C17","100u","CP_Radial_D5.0mm_P2.00mm",180.275000,-74.750000,-90.000000,top
"C18","10uF","C_0603_1608Metric",176.025000,-75.500000,90.000000,top
"C19","10uF","C_0603_1608Metric",172.275000,-75.525000,-90.000000,top
"C20","0.1uF","C_0402_1005Metric",174.275000,-75.250000,-90.000000,top
"C21","0.01uF","C_0402_1005Metric",160.525000,-71.500000,90.000000,top
"C22","220uF","CP_Radial_D6.3mm_P2.50mm",161.525000,-89.750000,0.000000,top
"C23","47uF","C_1206_3216Metric",162.775000,-81.750000,0.000000,top
"C24","47uF","C_1206_3216Metric",162.775000,-84.750000,0.000000,top
"C25","100u","CP_Radial_D5.0mm_P2.00mm",176.275000,-108.250000,-90.000000,top
"C26","10uF","C_0603_1608Metric",171.775000,-109.225000,90.000000,top
"C27","10uF","C_0603_1608Metric",167.775000,-109.225000,-90.000000,top
"C28","0.1uF","C_0402_1005Metric",169.775000,-108.750000,-90.000000,top
"C29","0.01uF","C_0402_1005Metric",156.025000,-106.500000,90.000000,top
"C30","220uF","CP_Radial_D6.3mm_P2.50mm",151.775000,-123.500000,0.000000,top
"C31","47uF","C_1206_3216Metric",153.275000,-118.500000,0.000000,top
"C32","47uF","C_1206_3216Metric",153.275000,-115.750000,0.000000,top
"C33","0.1u","C_0402_1005Metric",142.275000,-97.500000,-90.000000,top
"C34","10u","C_0603_1608Metric",140.275000,-97.040000,-90.000000,top
"C35","100u/16v","CP_Radial_D5.0mm_P2.00mm",136.025000,-97.544888,-90.000000,top
"C36","0.1u","C_0402_1005Metric",141.025000,-93.250000,90.000000,top
"C37","1u","C_0402_1005Metric",141.025000,-86.750000,-90.000000,top
"C38","0.1u","C_0402_1005Metric",144.275000,-97.500000,-90.000000,top
"C39","0.1u","C_0402_1005Metric",149.775000,-94.750000,-90.000000,top
"C40","100u/16v","CP_Radial_D5.0mm_P2.00mm",153.775000,-95.794888,-90.000000,top
"C41","100u/16v","CP_Radial_D5.0mm_P2.00mm",159.775000,-95.794888,-90.000000,top
"C42","22p","C_0402_1005Metric",154.025000,-89.750000,-90.000000,top
"C43","22p","C_0402_1005Metric",152.525000,-89.750000,-90.000000,top
"C44","1n","C_0402_1005Metric",150.775000,-88.750000,-90.000000,top
"D1","B340","D_SMA",129.150000,-102.919888,180.000000,top
